n_voters,n_alternatives,p_no_winner
123,9,0.4596
147,3,0.0784
135,6,0.2996
148,1,0.0
137,8,0.4132
146,2,0.0704
141,4,0.1728
140,7,0.5032
132,7,0.5028
142,6,0.4172
146,4,0.2876
148,3,0.18
139,5,0.2632
144,5,0.356
121,10,0.49
147,2,0.0
142,4,0.2884
125,9,0.4464
129,8,0.4044
126,9,0.5772
136,6,0.4288
147,4,0.1784
145,3,0.086
149,3,0.0956
145,5,0.246
143,4,0.1756
141,7,0.3636
146,5,0.3588
150,1,0.0
149,2,0.0
144,4,0.2792
142,7,0.5036
144,6,0.4312
128,10,0.602
137,9,0.4592
135,10,0.49
138,9,0.5848
152,1,0.0
141,5,0.2436
147,5,0.2676
135,7,0.3696
151,2,0.0
149,4,0.1812
127,9,0.4584
132,8,0.5288
151,1,0.0
141,8,0.41
142,5,0.368
139,6,0.304
145,4,0.1788
152,2,0.0596
143,5,0.2624
146,6,0.4252
150,2,0.066
144,7,0.4864
137,10,0.474
142,8,0.5328
140,6,0.446
136,7,0.4964
134,9,0.5656
153,2,0.0
138,8,0.5352
147,6,0.3216
133,8,0.404
150,4,0.2832
137,7,0.3764
143,8,0.4024
134,8,0.5208
153,1,0.0
145,7,0.3712
138,7,0.5044
154,2,0.07
148,4,0.2944
141,6,0.3028
148,6,0.4256
139,10,0.4884
136,9,0.5924
156,1,0.0
144,8,0.5348
150,3,0.1836
154,1,0.0
155,2,0.0
142,9,0.5556
135,8,0.3972
152,4,0.2952
150,5,0.3632
139,7,0.3612
149,6,0.312
154,3,0.184
157,1,0.0
132,9,0.5684
155,1,0.0
153,4,0.1724
143,6,0.3052
151,3,0.0896
155,3,0.088
151,5,0.2752
130,10,0.61
152,3,0.1792
133,9,0.4564
148,5,0.3564
158,2,0.062
154,4,0.2764
153,5,0.2572
153,3,0.0952
157,3,0.0972
148,8,0.5296
156,2,0.0704
145,6,0.3168
158,1,0.0
143,10,0.4916
151,4,0.1804
159,2,0.0
149,5,0.2572
146,9,0.5836
139,8,0.4192
154,5,0.3828
157,2,0.0
140,8,0.5428
143,7,0.3764
144,9,0.5716
159,1,0.0
131,10,0.4836
135,9,0.4616
159,3,0.096
132,10,0.592
156,3,0.1768
160,1,0.0
140,9,0.5844
156,5,0.3688
154,6,0.4428
148,9,0.5704
160,3,0.186
158,3,0.19
133,10,0.4808
162,1,0.0
146,10,0.578
145,10,0.4776
150,8,0.5312
161,2,0.0
134,10,0.6052
157,5,0.2488
153,7,0.358
161,1,0.0
146,7,0.4788
160,2,0.0528
152,5,0.3528
158,5,0.3604
155,4,0.2032
151,8,0.412
161,3,0.084
139,9,0.466
154,7,0.4788
164,1,0.0
156,4,0.27
147,7,0.3836
148,10,0.5992
162,3,0.1932
136,10,0.6116
150,9,0.5668
150,6,0.4276
157,6,0.3136
163,1,0.0
155,7,0.3596
148,7,0.4884
157,4,0.1768
158,6,0.4152
161,4,0.1784
164,2,0.0568
142,10,0.5996
162,2,0.062
153,8,0.404
151,6,0.3144
156,7,0.4756
158,4,0.2832
154,8,0.5356
166,1,0.0
145,8,0.4044
141,9,0.456
155,5,0.264
165,2,0.0
159,6,0.3156
152,6,0.4152
156,6,0.4152
163,2,0.0
146,8,0.522
138,10,0.598
147,10,0.4676
164,3,0.1728
159,4,0.1608
157,7,0.3644
149,7,0.3804
165,1,0.0
160,6,0.4236
153,6,0.3064
165,3,0.0832
150,7,0.4888
159,5,0.2716
162,5,0.37
160,4,0.2772
147,8,0.4136
143,9,0.4616
167,2,0.0
164,4,0.2872
140,10,0.608
163,3,0.0892
151,10,0.4964
169,1,0.0
166,3,0.1756
161,6,0.316
167,1,0.0
163,5,0.2488
151,7,0.3512
168,2,0.0652
160,7,0.4884
170,1,0.0
155,6,0.3048
149,10,0.4812
158,8,0.5236
152,7,0.4624
169,2,0.0
166,2,0.052
156,8,0.5376
168,1,0.0
162,4,0.2756
145,9,0.4436
141,10,0.478
160,5,0.3664
166,4,0.2776
